Notes,YEAR,FIPS,Newspaper,Corrugated Cardboard,Office,Magazine/Glossy,Paperboard,Mixed Paper,Other Paper,#1 PET Bottles,#2 HDPE Bottles,#3-#7 Bottles,Expanded Polystyrene,Film Plastic,Other Rigid Plastic,Clear Glass,Green Glass,Amber Glass,Other Glass,Steel Cans,Aluminum Cans,Other Ferrous,Other Non-Ferrous,Appliances/White Goods,Yard Waste,Wood,Food Waste,Textiles,Other Organics,Wood (C&D),Drywall,Inerts,Fines/Dirt,Carpet (inc padding),Asphalt Roofing,Other C&D,Vehicle Fluids,Lightbulbs,Pharmaceutical/Medical,Other HHW,Electronics,Batteries,Tires,Bulky Items/Furniture,Other Inorganics,Paper,Plastic,Glass,Metal,Yard Waste (Major),Food,Textiles (Major),Other Organics (Major),Wood (Major),C&D Excluding Wood,HHW,Other
Washington State (West),2020,"53009, 53027",0.005,0.046,0.038,0.003,0.003,0.082,0.003,0.013,0.007,0.038,0.025,0.055,0.016,0.007,0.001,0.004,0.004,0.005,0.007,0.023,0.03,0.003,0.085,0.025,0.165,0.04,0.043,0.106,0.008,0.007,0.01,0.015,0.01,0.013,0.001,0.002,0.02,0.003,0.002,0.002,0.007,0.016,0.002,0.18,0.154,0.016,0.068,0.11,0.165,0.04,0.043,0.106,0.063,0.026,0.029
Pennsylvania (Northeast) (Appendix B),2021,"42015, 42025, 42037, 42069, 42079, 42089, 42093, 42097, 42103, 42107, 42113,42115, 42127, 42131.",0.009,0.08,0.003,0.006,0.004,0.143,0.045,0.016,0.011,0.015,0.01,0.089,0.063,0.011,0.003,0.004,0.006,0.011,0.01,0.012,0.004,N/A,0.018,0.029,0.166,0.034,0.085,0.02,0.006,0.0031,0.011,0.009,0.001,0.016,N/A,N/A,0.004,0.0001,0.004,0.0011,N/A,0.034,0.004,0.29,0.204,0.024,N/A,0.047,0.166,0.034,0.085,0.02,0.0461,N/A,N/A
Pennsylvania (Northcentral) (Appendix C),2021,"42023, 42027, 42033, 42035, 42037, 42081, 42097, 42105, 42109, 42117,42119",0.004,0.066,0.005,0.005,0.003,0.13,0.032,0.017,0.008,0.022,0.013,0.093,0.044,0.013,0.002,0.005,0.005,0.008,0.011,0.016,0.005,N/A,0.026,0.023,0.184,0.036,0.1,0.02,0.005,0.0031,0.01,0.014,0.002,0.013,N/A,N/A,0.005,0.0001,0.009,0.0011,N/A,0.033,0.0087,0.245,0.197,0.025,N/A,0.049,0.184,0.036,0.1,0.02,0.0471,N/A,N/A
Pennsylvania (Northwest) (Appendix D),2021,"42031, 42039, 42049, 42053, 42065, 42085, 42121, 42123.",0.005,0.051,0.006,0.009,0.003,0.126,0.031,0.019,0.007,0.013,0.006,0.072,0.056,0.015,0.004,0.007,0.01,0.008,0.01,0.016,0.005,N/A,0.044,0.025,0.187,0.05,0.086,0.027,0.008,0.0021,0.016,0.011,0.003,0.02,N/A,N/A,0.0028,0.001,0.01,0.0011,N/A,0.019,0.008,0.231,0.173,0.036,N/A,0.069,0.187,0.05,0.086,0.027,0.0601,N/A,N/A
Pennsylvania (SouthEast) (Appendix E),2021,"42011, 42017, 42029, 42045, 42071, 42075, 42077, 42091, 42095, 42101.",0.006,0.073,0.004,0.008,0.002,0.12,0.028,0.012,0.006,0.014,0.007,0.081,0.047,0.01,0.003,0.003,0.006,0.006,0.008,0.016,0.005,N/A,0.049,0.04,0.189,0.046,0.068,0.027,0.006,0.005,0.021,0.019,0.005,0.018,N/A,N/A,0.0038,0.0001,0.006,0.0011,N/A,0.027,0.004,0.241,0.167,0.022,N/A,0.089,0.189,0.046,0.068,0.027,0.074,N/A,N/A
Pennsylvania (SOUTHWEST) (Appendix G),2021,"42003, 42005, 42007, 42019, 42051, 42059, 42063, 42073, 42125, 42129",0.008,0.068,0.007,0.01,0.004,0.128,0.024,0.018,0.01,0.014,0.009,0.087,0.05,0.014,0.005,0.006,0.004,0.009,0.011,0.03,0.007,N/A,0.032,0.039,0.15,0.044,0.082,0.025,0.004,0.006,0.009,0.016,0.003,0.02,N/A,N/A,0.004,0.0004,0.0055,0.0011,N/A,0.029,0.006,0.249,0.188,0.029,N/A,0.071,0.15,0.044,0.082,0.025,0.058,N/A,N/A
Pennsylvania (SouthCentral) (Appendix F),2021,"42001,42041, 42043, 42055, 42061, 42067, 42071, 42075, 42087, 42099, 42109, 42133.",0.007,0.081,0.005,0.007,0.005,0.13,0.046,0.017,0.007,0.014,0.013,0.105,0.061,0.009,0.003,0.004,0.008,0.009,0.008,0.009,0.004,N/A,0.03,0.037,0.149,0.027,0.088,0.023,0.004,0.001,0.008,0.008,0.0005,0.011,N/A,N/A,0.0029,0.001,0.0045,0.0011,N/A,0.044,0.008,0.281,0.217,0.024,N/A,0.067,0.149,0.027,0.088,0.023,0.0325,N/A,N/A
Wyoming-State,2010,56000,0.025,0.12,0.035,0.025,0.02,0.04,0.04,0.02,0.015,0.015,0.015,0.035,0.02,0.01,0.007,0.007,0.006,0.02,0.01,0.025,0.01,0.005,0.06,0.05,0.1,0.04,0.02,0.03,0.03,0.045,N/A,0.01,0.025,0.01,0.003,0.001,0.005,0.003,0.008,N/A,0.01,0.01,0.015,0.305,0.12,0.03,0.07,0.11,0.1,0.04,0.02,0.03,N/A,0.012,N/A
"Ashtabula County, Ohio",2003,39007,0.095,0.088,0.061,0.05,0.058,0.099,0.007,0.023,0.087,0.039,N/A,N/A,0.031,N/A,N/A,N/A,N/A,0.021,0.018,0.004,0.003,N/A,0.043,N/A,0.137,0.063,0.026,0.001,N/A,N/A,0.001,N/A,N/A,N/A,N/A,N/A,0.002,0.002,N/A,0.001,N/A,N/A,N/A,0.458,N/A,N/A,N/A,N/A,0.137,0.063,0.026,0.001,N/A,N/A,N/A
"Kauai County, Hawaii",2016,15007,0.008,0.044,0.013,0.006,0.011,0.041,0.061,0.01,0.007,0.011,0.007,0.063,0.016,0.009,0.013,0.001,0.005,0.005,0.003,0.013,0.016,0.011,0.063,0.114,0.103,0.03,0.082,0.029,0.034,0.024,0.017,0.006,0.019,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.001,0.004,0.084,0.184,0.114,0.028,0.048,0.177,0.103,0.03,0.082,0.029,0.101,0.004,0.096
